"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}",,StartDate,Start Date
"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}",,EndDate,End Date
"{""ImportId"":""status""}",,Status,Response Type
"{""ImportId"":""ipAddress""}",,IPAddress,IP Address
"{""ImportId"":""progress""}",,Progress,Progress
"{""ImportId"":""duration""}",,Duration (in seconds),Duration (in seconds)
"{""ImportId"":""finished""}",,Finished,Finished
"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}",,RecordedDate,Recorded Date
"{""ImportId"":""_recordId""}",,ResponseId,Response ID
"{""ImportId"":""recipientLastName""}",,RecipientLastName,Recipient Last Name
"{""ImportId"":""recipientFirstName""}",,RecipientFirstName,Recipient First Name
"{""ImportId"":""recipientEmail""}",,RecipientEmail,Recipient Email
"{""ImportId"":""externalDataReference""}",,ExternalReference,External Data Reference
"{""ImportId"":""locationLatitude""}",,LocationLatitude,Location Latitude
"{""ImportId"":""locationLongitude""}",,LocationLongitude,Location Longitude
"{""ImportId"":""distributionChannel""}",,DistributionChannel,Distribution Channel
"{""ImportId"":""userLanguage""}",,UserLanguage,User Language
"{""ImportId"":""QID8_1""}",,Q1.1_1,The following information will only be presented in a summarised manner and will not be put online when sharing the collected data. - Contact Details (email)
"{""ImportId"":""QID8_2""}",,Q1.1_2,The following information will only be presented in a summarised manner and will not be put online when sharing the collected data. - Affiliation
"{""ImportId"":""QID8_3""}",,Q1.1_3,The following information will only be presented in a summarised manner and will not be put online when sharing the collected data. - Role
"{""ImportId"":""QID8_4""}",,Q1.1_4,"The following information will only be presented in a summarised manner and will not be put online when sharing the collected data. - Experience with Semantic Web technologies, in years"
"{""ImportId"":""QID9""}",,Q1.2,Level of education (select the highest with applies) - Selected Choice
"{""ImportId"":""QID9_5_TEXT""}",,Q1.2_5_TEXT,Level of education (select the highest with applies) - Other - Text
"{""ImportId"":""QID10_1""}",,Q1.3_1,"Number of KGs, ontologies or shapes for KG constructed or involved in construction in the past: - KG (focus on Abox)"
"{""ImportId"":""QID10_2""}",,Q1.3_2,"Number of KGs, ontologies or shapes for KG constructed or involved in construction in the past: - Ontology or Schema (focus on Tbox, Terminology, Vocabulary)"
"{""ImportId"":""QID10_3""}",,Q1.3_3,"Number of KGs, ontologies or shapes for KG constructed or involved in construction in the past: - Shapes"
"{""ImportId"":""QID11_TEXT""}",,Q2.1,"Please prodive a reference to the KG in the form of a link to the KG itself, resource identifier or publication:"
"{""ImportId"":""QID13"",""choiceId"":""1""}",KG Purpose,Q2.2_1,"We want to know about the purpose of this KG, please select from the list below anything that fits. - Selected Choice - Search"
"{""ImportId"":""QID13"",""choiceId"":""2""}",,Q2.2_2,"We want to know about the purpose of this KG, please select from the list below anything that fits. - Selected Choice - Exploration"
"{""ImportId"":""QID13"",""choiceId"":""3""}",,Q2.2_3,"We want to know about the purpose of this KG, please select from the list below anything that fits. - Selected Choice - Other:"
"{""ImportId"":""QID13"",""choiceId"":""15""}",,Q2.2_15,"We want to know about the purpose of this KG, please select from the list below anything that fits. - Selected Choice - KG Completion"
"{""ImportId"":""QID13"",""choiceId"":""16""}",,Q2.2_16,"We want to know about the purpose of this KG, please select from the list below anything that fits. - Selected Choice - KG Validation"
"{""ImportId"":""QID13"",""choiceId"":""4""}",,Q2.2_4,"We want to know about the purpose of this KG, please select from the list below anything that fits. - Selected Choice - Creation of new knowledge (e.g. hypothesis generation)"
"{""ImportId"":""QID13"",""choiceId"":""5""}",,Q2.2_5,"We want to know about the purpose of this KG, please select from the list below anything that fits. - Selected Choice - Other:"
"{""ImportId"":""QID13"",""choiceId"":""6""}",,Q2.2_6,"We want to know about the purpose of this KG, please select from the list below anything that fits. - Selected Choice - Recommender System"
